,Scientific Name,Accepted Name,Jepson Common Name,Status,Jepson Link,CNPS Common Name,Family,Lifeform,CRPR,SRank,CESA,NatureServe Common Name,Species Group,NatureServe Global Rank,NatureServe Rounded Global Rank,U.S. Endangered Species Act Status,Distribution,View on NatureServe Explorer,searchName
14208,Rhamnus crocea subsp. pirifolia,Rhamnus pirifolia,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=41075,,,,,,,Great Redberry Buckthorn,Flowering Plants - Dicots,G3,G3,,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.150587/Rhamnus_pirifolia,Rhamnus crocea * pirifolia
14209,Rhamnus crocea var. insularis,Rhamnus pirifolia,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=41075,,,,,,,Great Redberry Buckthorn,Flowering Plants - Dicots,G3,G3,,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.150587/Rhamnus_pirifolia,Rhamnus crocea * insularis
14210,Rhamnus crocea var. pirifolia,Rhamnus pirifolia,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=41075,,,,,,,Great Redberry Buckthorn,Flowering Plants - Dicots,G3,G3,,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.150587/Rhamnus_pirifolia,Rhamnus crocea * pirifolia
14219,Rhododendron macrophyllum,Rhododendron macrophyllum,California Rhododendron,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=41146,,,,,,,Pacific Rhododendron,Flowering Plants - Dicots,G5,G5,,"Canada: BC
United States: CA, OR, WA",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.143701/Rhododendron_macrophyllum,Rhododendron macrophyllum
14220,Rhododendron occidentale,Rhododendron occidentale,California Azalea,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=41152,,,,,,,Western Azalea,Flowering Plants - Dicots,G5,G5,,"United States: CA, OR",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.147124/Rhododendron_occidentale,Rhododendron occidentale
14223,Toxicodendron triphyllum var. trilobatum,Rhus aromatica,,Invalid name,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=41175,,,,,,,Fragrant Sumac,Flowering Plants - Dicots,G5,G5,,"Canada: AB, ON, QC, SK
United States: AL, AR, CT, DC, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, PA, SC, SD, TN, TX, VA, VT, WI, WV",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.146377/Rhus_aromatica,Toxicodendron triphyllum * trilobatum
14224,Rhus aromatica,Rhus aromatica,Skunk Bush,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=41175,,,,,,,Fragrant Sumac,Flowering Plants - Dicots,G5,G5,,"Canada: AB, ON, QC, SK
United States: AL, AR, CT, DC, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, PA, SC, SD, TN, TX, VA, VT, WI, WV",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.146377/Rhus_aromatica,Rhus aromatica
14225,Rhus aromatica subsp. trilobata,Rhus aromatica,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=41175,,,,,,,Fragrant Sumac,Flowering Plants - Dicots,G5,G5,,"Canada: AB, ON, QC, SK
United States: AL, AR, CT, DC, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, PA, SC, SD, TN, TX, VA, VT, WI, WV",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.146377/Rhus_aromatica,Rhus aromatica * trilobata
14226,Rhus aromatica var. simplicifolia,Rhus aromatica,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=41175,single-leaved skunkbrush,Anacardiaceae,perennial deciduous shrub,2B.3,S2,None,Fragrant Sumac,Flowering Plants - Dicots,G5,G5,,"Canada: AB, ON, QC, SK
United States: AL, AR, CT, DC, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, PA, SC, SD, TN, TX, VA, VT, WI, WV",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.146377/Rhus_aromatica,Rhus aromatica * simplicifolia
14227,Rhus aromatica var. trilobata,Rhus aromatica,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=41175,,,,,,,Fragrant Sumac,Flowering Plants - Dicots,G5,G5,,"Canada: AB, ON, QC, SK
United States: AL, AR, CT, DC, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, PA, SC, SD, TN, TX, VA, VT, WI, WV",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.146377/Rhus_aromatica,Rhus aromatica * trilobata
14228,Rhus trilobata,Rhus aromatica,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=41175,,,,,,,Fragrant Sumac,Flowering Plants - Dicots,G5,G5,,"Canada: AB, ON, QC, SK
United States: AL, AR, CT, DC, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, PA, SC, SD, TN, TX, VA, VT, WI, WV",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.146377/Rhus_aromatica,Rhus trilobata
14229,Rhus trilobata var. anisophylla,Rhus aromatica,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=41175,,,,,,,Fragrant Sumac,Flowering Plants - Dicots,G5,G5,,"Canada: AB, ON, QC, SK
United States: AL, AR, CT, DC, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, PA, SC, SD, TN, TX, VA, VT, WI, WV",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.146377/Rhus_aromatica,Rhus trilobata * anisophylla
14230,Rhus trilobata var. malacophylla,Rhus aromatica,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=41175,,,,,,,Fragrant Sumac,Flowering Plants - Dicots,G5,G5,,"Canada: AB, ON, QC, SK
United States: AL, AR, CT, DC, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, PA, SC, SD, TN, TX, VA, VT, WI, WV",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.146377/Rhus_aromatica,Rhus trilobata * malacophylla
14231,Rhus trilobata var. quinata,Rhus aromatica,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=41175,,,,,,,Fragrant Sumac,Flowering Plants - Dicots,G5,G5,,"Canada: AB, ON, QC, SK
United States: AL, AR, CT, DC, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, PA, SC, SD, TN, TX, VA, VT, WI, WV",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.146377/Rhus_aromatica,Rhus trilobata * quinata
14232,Rhus trilobata var. simplicifolia,Rhus aromatica,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=41175,,,,,,,Fragrant Sumac,Flowering Plants - Dicots,G5,G5,,"Canada: AB, ON, QC, SK
United States: AL, AR, CT, DC, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, PA, SC, SD, TN, TX, VA, VT, WI, WV",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.146377/Rhus_aromatica,Rhus trilobata * simplicifolia
14233,Rhus trilobata var. trilobata,Rhus aromatica,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=41175,,,,,,,Fragrant Sumac,Flowering Plants - Dicots,G5,G5,,"Canada: AB, ON, QC, SK
United States: AL, AR, CT, DC, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, PA, SC, SD, TN, TX, VA, VT, WI, WV",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.146377/Rhus_aromatica,Rhus trilobata * trilobata
14234,Schmaltzia trilobata,Rhus aromatica,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=41175,,,,,,,Fragrant Sumac,Flowering Plants - Dicots,G5,G5,,"Canada: AB, ON, QC, SK
United States: AL, AR, CT, DC, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, PA, SC, SD, TN, TX, VA, VT, WI, WV",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.146377/Rhus_aromatica,Schmaltzia trilobata
