,Scientific Name,Accepted Name,Jepson Common Name,Status,Jepson Link,CNPS Common Name,Family,Lifeform,CRPR,SRank,CESA,NatureServe Common Name,Species Group,NatureServe Global Rank,NatureServe Rounded Global Rank,U.S. Endangered Species Act Status,Distribution,View on NatureServe Explorer,searchName
11081,Saxifraga ferruginea,Micranthes ferruginea,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=91944,,,,,,,Rusty-hair Saxifrage,Flowering Plants - Dicots,G5,G5,,"Canada: AB, BC, NT
United States: AK, CA, ID, MT, OR, WA, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.138631/Micranthes_ferruginea,Saxifraga ferruginea
11082,Saxifraga ferruginea var. ferruginea,Micranthes ferruginea,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=91944,,,,,,,Rusty-hair Saxifrage,Flowering Plants - Dicots,G5,G5,,"Canada: AB, BC, NT
United States: AK, CA, ID, MT, OR, WA, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.138631/Micranthes_ferruginea,Saxifraga ferruginea * ferruginea
11083,Micranthes fragosa,Micranthes fragosa,,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=91945,,,,,,,Peak Saxifrage,Flowering Plants - Dicots,G3G5,G4,,"United States: ID, NV, OR, UT, WA",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.135162/Micranthes_fragosa,Micranthes fragosa
11084,Saxifraga nidifica var. claytoniifolia,Micranthes fragosa,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=91945,,,,,,,Peak Saxifrage,Flowering Plants - Dicots,G3G5,G4,,"United States: ID, NV, OR, UT, WA",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.135162/Micranthes_fragosa,Saxifraga nidifica * claytoniifolia
11085,Micranthes howellii,Micranthes howellii,Howell'S Saxifrage,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=91946,Howell's saxifrage,Saxifragaceae,perennial rhizomatous herb,4.3,S3,None,Howell's Saxifrage,Flowering Plants - Dicots,G4,G4,,"United States: CA, OR",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.161436/Micranthes_howellii,Micranthes howellii
11086,Saxifraga howellii,Micranthes howellii,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=91946,,,,,,,Howell's Saxifrage,Flowering Plants - Dicots,G4,G4,,"United States: CA, OR",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.161436/Micranthes_howellii,Saxifraga howellii
11087,Micranthes integrifolia,Micranthes integrifolia,,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=91949,,,,,,,Grassland Saxifrage,Flowering Plants - Dicots,G5,G5,,"Canada: BC
United States: CA, OR, WA",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.143599/Micranthes_integrifolia,Micranthes integrifolia
11088,Saxifraga integrifolia,Micranthes integrifolia,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=91949,,,,,,,Grassland Saxifrage,Flowering Plants - Dicots,G5,G5,,"Canada: BC
United States: CA, OR, WA",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.143599/Micranthes_integrifolia,Saxifraga integrifolia
11089,Micranthes rufidula,Micranthes marshallii,,Mentioned in a note,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=91947,,,,,,,Marshall's Saxifrage,Flowering Plants - Dicots,G5,G5,,"United States: CA, OR",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.129358/Micranthes_marshallii,Micranthes rufidula
11090,Saxifraga rufidula,Micranthes marshallii,,Mentioned in a note,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=91947,,,,,,,Marshall's Saxifrage,Flowering Plants - Dicots,G5,G5,,"United States: CA, OR",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.129358/Micranthes_marshallii,Saxifraga rufidula
11091,Micranthes marshallii,Micranthes marshallii,,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=91947,Marshall's saxifrage,Saxifragaceae,perennial rhizomatous herb,4.3,S3,None,Marshall's Saxifrage,Flowering Plants - Dicots,G5,G5,,"United States: CA, OR",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.129358/Micranthes_marshallii,Micranthes marshallii
11092,Saxifraga marshallii,Micranthes marshallii,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=91947,,,,,,,Marshall's Saxifrage,Flowering Plants - Dicots,G5,G5,,"United States: CA, OR",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.129358/Micranthes_marshallii,Saxifraga marshallii
11093,Micranthes montana,Micranthes nidifica,,Mentioned in a note,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=91948,,,,,,,Swamp Saxifrage,Flowering Plants - Dicots,G5,G5,,"Canada: BC
United States: CA, ID, MT, NV, OR, UT, WA, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.134738/Micranthes_nidifica,Micranthes montana
11094,Micranthes nidifica,Micranthes nidifica,,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=91948,,,,,,,Swamp Saxifrage,Flowering Plants - Dicots,G5,G5,,"Canada: BC
United States: CA, ID, MT, NV, OR, UT, WA, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.134738/Micranthes_nidifica,Micranthes nidifica
11095,Saxifraga nidifica var. nidifica,Micranthes nidifica,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=91948,,,,,,,Swamp Saxifrage,Flowering Plants - Dicots,G5,G5,,"Canada: BC
United States: CA, ID, MT, NV, OR, UT, WA, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.134738/Micranthes_nidifica,Saxifraga nidifica * nidifica
11096,Micranthes odontoloma,Micranthes odontoloma,,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=33445,,,,,,,Streambank Saxifrage,Flowering Plants - Dicots,G5,G5,,"Canada: AB, BC
United States: AZ, CA, CO, ID, MT, NM, NV, OR, UT, WA, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.129569/Micranthes_odontoloma,Micranthes odontoloma
11097,Saxifraga odontoloma,Micranthes odontoloma,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=33445,,,,,,,Streambank Saxifrage,Flowering Plants - Dicots,G5,G5,,"Canada: AB, BC
United States: AZ, CA, CO, ID, MT, NM, NV, OR, UT, WA, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.129569/Micranthes_odontoloma,Saxifraga odontoloma
11098,Micranthes pensylvanica,Micranthes oregana,,Mentioned in a note,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=33448,,,,,,,Oregon Saxifrage,Flowering Plants - Dicots,G4G5,G4,,"United States: CA, CO, ID, MT, NV, OR, WA",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.143658/Micranthes_oregana,Micranthes pensylvanica
11099,Micranthes oregana,Micranthes oregana,,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=33448,,,,,,,Oregon Saxifrage,Flowering Plants - Dicots,G4G5,G4,,"United States: CA, CO, ID, MT, NV, OR, WA",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.143658/Micranthes_oregana,Micranthes oregana
11100,Saxifraga oregana,Micranthes oregana,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=33448,,,,,,,Oregon Saxifrage,Flowering Plants - Dicots,G4G5,G4,,"United States: CA, CO, ID, MT, NV, OR, WA",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.143658/Micranthes_oregana,Saxifraga oregana
11101,Micranthes tolmiei,Micranthes tolmiei,,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=91950,,,,,,,Tolmie's Saxifrage,Flowering Plants - Dicots,G5,G5,,"Canada: BC
United States: AK, CA, ID, MT, NV, OR, WA",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.154387/Micranthes_tolmiei,Micranthes tolmiei
11102,Saxifraga tolmiei,Micranthes tolmiei,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=91950,,,,,,,Tolmie's Saxifrage,Flowering Plants - Dicots,G5,G5,,"Canada: BC
United States: AK, CA, ID, MT, NV, OR, WA",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.154387/Micranthes_tolmiei,Saxifraga tolmiei
11105,Micropus amphibolus,Micropus amphibolus,Mount Diablo Cottonseed,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=33474,,,,,,,Mt. Diablo Cottonweed,Flowering Plants - Dicots,G3G4,G3,,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.157859/Micropus_amphibolus,Micropus amphibolus
11106,Stylocline amphibola,Micropus amphibolus,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=33474,,,,,,,Mt. Diablo Cottonweed,Flowering Plants - Dicots,G3G4,G3,,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.157859/Micropus_amphibolus,Stylocline amphibola
11107,Micropus californicus,Micropus californicus,Q-Tips,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=4144,,,,,,,Slender Cottonweed,Flowering Plants - Dicots,G5,G5,,"United States: CA, OR",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.131106/Micropus_californicus,Micropus californicus
11108,Micropus californicus var. californicus,Micropus californicus var. californicus,Cottontop,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=7993,,,,,,,Slender Cottonweed,Flowering Plants - Dicots,G5T5,T5,,"United States: CA, OR",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.129422/Micropus_californicus_var_californicus,Micropus californicus * californicus
11109,Micropus californicus var. subvestitus,Micropus californicus var. subvestitus,,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=7994,,,,,,,Slender Cottonweed,Flowering Plants - Dicots,G5T3T4,T3,,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.147622/Micropus_californicus_var_subvestitus,Micropus californicus * subvestitus
11110,Microseris acuminata,Microseris acuminata,,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=4146,,,,,,,Sierra Foothills Silverpuffs,Flowering Plants - Dicots,G4,G4,,"United States: CA, OR",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.139781/Microseris_acuminata,Microseris acuminata
11111,Microseris bigelovii,Microseris bigelovii,,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=4147,,,,,,,Coast Microseris,Flowering Plants - Dicots,G4,G4,,"Canada: BC
United States: CA, OR, WA",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.137691/Microseris_bigelovii,Microseris bigelovii
11112,Microseris borealis,Microseris borealis,Northern Microseris,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=4148,northern microseris,Asteraceae,perennial herb,2B.1,S1,None,Northern Microseris,Flowering Plants - Dicots,G5,G5,,"Canada: BC
United States: AK, CA, OR, WA",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.130180/Microseris_borealis,Microseris borealis
11113,Microseris campestris,Microseris campestris,,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=4149,,,,,,,San Joaquin Silverpuffs,Flowering Plants - Dicots,G4,G4,,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.153093/Microseris_campestris,Microseris campestris
11114,Microseris douglasii,Microseris douglasii,,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=4151,,,,,,,Douglas' Silverpuffs,Flowering Plants - Dicots,G4,G4,,"United States: CA, MA, OR",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.147365/Microseris_douglasii,Microseris douglasii
11118,Microseris elegans,Microseris elegans,,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=4152,,,,,,,Elegant Silverpuffs,Flowering Plants - Dicots,G4,G4,,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.142009/Microseris_elegans,Microseris elegans
11119,Microseris laciniata,Microseris laciniata,,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=4155,,,,,,,Cutleaf Silverpuffs,Flowering Plants - Dicots,G4,G4,,"United States: CA, NV, OR, WA",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.148308/Microseris_laciniata,Microseris laciniata
11125,Microseris nutans,Microseris nutans,,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=4158,,,,,,,Nodding Silverpuffs,Flowering Plants - Dicots,G5,G5,,"Canada: AB, BC
United States: CA, CO, ID, MT, NV, OR, SD, UT, WA, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.153444/Microseris_nutans,Microseris nutans
11126,Microseris paludosa,Microseris paludosa,Marsh Microseris,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=4159,marsh microseris,Asteraceae,perennial herb,1B.2,S2,None,Marsh Silverpuffs,Flowering Plants - Dicots,G2,G2,,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.139110/Microseris_paludosa,Microseris paludosa
11127,Microseris sylvatica,Microseris sylvatica,Sylvan Microseris,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=4160,sylvan microseris,Asteraceae,perennial herb,4.2,S4,None,Woodland Silverpuffs,Flowering Plants - Dicots,G4,G4,,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.129466/Microseris_sylvatica,Microseris sylvatica
11136,Mimetanthe pilosa,Mimetanthe pilosa,,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=33500,,,,,,,False Monkeyflower,Flowering Plants - Dicots,G5,G5,,"United States: AZ, CA, ID, NV, OR, UT, WA",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.136507/Mimetanthe_pilosa,Mimetanthe pilosa
11137,Herpestris pilosa,Mimetanthe pilosa,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=33500,,,,,,,False Monkeyflower,Flowering Plants - Dicots,G5,G5,,"United States: AZ, CA, ID, NV, OR, UT, WA",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.136507/Mimetanthe_pilosa,Herpestris pilosa
11138,Mimulus pilosus,Mimetanthe pilosa,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=33500,,,,,,,False Monkeyflower,Flowering Plants - Dicots,G5,G5,,"United States: AZ, CA, ID, NV, OR, UT, WA",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.136507/Mimetanthe_pilosa,Mimulus pilosus
11139,Mimulus ringens,Mimulus ringens,,Native or naturalized,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=33706,,,,,,,Square-stem Monkeyflower,Flowering Plants - Dicots,G5,G5,,"Canada: AB, MB, NB, NS, ON, PE, QC, SK
United States: AL, AR, CA, CO, CT, DC, DE, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.129067/Mimulus_ringens,Mimulus ringens
11141,Minuartia californica,Minuartia californica,California Sandwort,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=33742,,,,,,,California Stitchwort,Flowering Plants - Dicots,G4,G4,,"United States: CA, OR",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.159129/Minuartia_californica,Minuartia californica
11143,Arenaria californica,Minuartia californica,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=33742,,,,,,,California Stitchwort,Flowering Plants - Dicots,G4,G4,,"United States: CA, OR",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.159129/Minuartia_californica,Arenaria californica
11145,Arenaria pusilla var. diffusa,Minuartia californica,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=33742,,,,,,,California Stitchwort,Flowering Plants - Dicots,G4,G4,,"United States: CA, OR",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.159129/Minuartia_californica,Arenaria pusilla * diffusa
11146,Minuartia cismontana,Minuartia cismontana,Cismontane Minuartia,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=77842,,,,,,,Cismontane Stitchwort,Flowering Plants - Dicots,G3G4,G3,,"United States: CA, OR",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.821595/Minuartia_cismontana,Minuartia cismontana
11147,Minuartia decumbens,Minuartia decumbens,The Lassics Sandwort,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=33746,,,,,,,The Lassics Sandwort,Flowering Plants - Dicots,G1,G1,,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.158707/Minuartia_decumbens,Minuartia decumbens
11148,Minuartia douglasii,Minuartia douglasii,Douglas' Stitchwort,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=33747,,,,,,,Douglas' Sandwort,Flowering Plants - Dicots,G5,G5,,"United States: AZ, CA, OR",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.139679/Minuartia_douglasii,Minuartia douglasii
11149,Arenaria douglasii,Minuartia douglasii,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=33747,,,,,,,Douglas' Sandwort,Flowering Plants - Dicots,G5,G5,,"United States: AZ, CA, OR",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.139679/Minuartia_douglasii,Arenaria douglasii
11150,Arenaria douglasii var. emarginata,Minuartia douglasii,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=33747,,,,,,,Douglas' Sandwort,Flowering Plants - Dicots,G5,G5,,"United States: AZ, CA, OR",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.139679/Minuartia_douglasii,Arenaria douglasii * emarginata
11151,Minuartia howellii,Minuartia howellii,Howell'S Sandwort,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=33756,,,,,,,Howell's Sandwort,Flowering Plants - Dicots,G4,G4,,"United States: CA, OR",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.134504/Minuartia_howellii,Minuartia howellii
11152,Arenaria howellii,Minuartia howellii,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=33756,,,,,,,Howell's Sandwort,Flowering Plants - Dicots,G4,G4,,"United States: CA, OR",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.134504/Minuartia_howellii,Arenaria howellii
11153,Minuartia nuttallii,Minuartia nuttallii,Nuttall'S Sandwort,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=33762,,,,,,,Nuttall's Sandwort,Flowering Plants - Dicots,G5,G5,,"Canada: AB, BC
United States: CA, CO, ID, MT, NV, OR, UT, WA, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.135576/Minuartia_nuttallii,Minuartia nuttallii
11164,Minuartia obtusiloba,Minuartia obtusiloba,Alpine Sandwort,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=33764,alpine sandwort,Caryophyllaceae,perennial herb,4.3,S4,None,Alpine Stitchwort,Flowering Plants - Dicots,G5,G5,,"Canada: AB, BC, NT, YT
United States: AK, AZ, CA, CO, ID, MT, NM, NV, OR, UT, WA, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.136924/Minuartia_obtusiloba,Minuartia obtusiloba
11165,Arenaria obtusiloba,Minuartia obtusiloba,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=33764,,,,,,,Alpine Stitchwort,Flowering Plants - Dicots,G5,G5,,"Canada: AB, BC, NT, YT
United States: AK, AZ, CA, CO, ID, MT, NM, NV, OR, UT, WA, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.136924/Minuartia_obtusiloba,Arenaria obtusiloba
11166,Minuartia pusilla,Minuartia pusilla,Annual Sandwort,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=33767,,,,,,,Dwarf Stitchwort,Flowering Plants - Dicots,G5,G5,,"Canada: BC
United States: CA, ID, NV, OR, UT, WA",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.140712/Minuartia_pusilla,Minuartia pusilla
11167,Arenaria pusilla,Minuartia pusilla,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=33767,,,,,,,Dwarf Stitchwort,Flowering Plants - Dicots,G5,G5,,"Canada: BC
United States: CA, ID, NV, OR, UT, WA",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.140712/Minuartia_pusilla,Arenaria pusilla
11168,Minuartia rosei,Minuartia rosei,Peanut Sandwort,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=33768,,,,,,,Peanut Sandwort,Flowering Plants - Dicots,G3,G3,,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.159168/Minuartia_rosei,Minuartia rosei
11169,Arenaria rosei,Minuartia rosei,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=33768,,,,,,,Peanut Sandwort,Flowering Plants - Dicots,G3,G3,,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.159168/Minuartia_rosei,Arenaria rosei
11170,Minuartia rubella,Minuartia rubella,Reddish Sandwort,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=33771,,,,,,,Boreal Stitchwort,Flowering Plants - Dicots,G5,G5,,"Canada: AB, BC, LB, MB, NF, NT, NU, ON, QC, SK, YT
United States: AK, AZ, CA, CO, ID, ME, MT, NM, NV, OR, SD, UT, VT, WA, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.138018/Minuartia_rubella,Minuartia rubella
11171,Arenaria rubella,Minuartia rubella,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=33771,,,,,,,Boreal Stitchwort,Flowering Plants - Dicots,G5,G5,,"Canada: AB, BC, LB, MB, NF, NT, NU, ON, QC, SK, YT
United States: AK, AZ, CA, CO, ID, ME, MT, NM, NV, OR, SD, UT, VT, WA, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.138018/Minuartia_rubella,Arenaria rubella
11172,Minuartia stolonifera,Minuartia stolonifera,Scott Mountain Sandwort,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=33772,,,,,,,Scott Mountain Sandwort,Flowering Plants - Dicots,G2,G2,,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.134748/Minuartia_stolonifera,Minuartia stolonifera
11173,Minuartia stricta,Minuartia stricta,Bog Sandwort,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=33773,,,,,,,Rock Sandwort,Flowering Plants - Dicots,G5,G5,,"Canada: AB, BC, LB, MB, NT, NU, ON, QC, YT
United States: AK, CA, CO, ID, IL, MA, NH, RI, UT",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.161490/Minuartia_stricta,Minuartia stricta
11175,Mirabilis albida,Mirabilis albida,,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=33782,,,,,,,Pale Umbrella-wort,Flowering Plants - Dicots,G5,G5,,"Canada: QC, SK
United States: AL, AR, GA, IA, IL, IN, KS, KY, LA, MA, MI, MN, MO, MS, NC, ND, NE, NM, OH, OK, PA, SC, TN, TX",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.148938/Mirabilis_albida,Mirabilis albida
11177,Mirabilis comata,Mirabilis albida,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=33782,,,,,,,Pale Umbrella-wort,Flowering Plants - Dicots,G5,G5,,"Canada: QC, SK
United States: AL, AR, GA, IA, IL, IN, KS, KY, LA, MA, MI, MN, MO, MS, NC, ND, NE, NM, OH, OK, PA, SC, TN, TX",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.148938/Mirabilis_albida,Mirabilis comata
11179,Mirabilis oblongifolia,Mirabilis albida,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=33782,,,,,,,Pale Umbrella-wort,Flowering Plants - Dicots,G5,G5,,"Canada: QC, SK
United States: AL, AR, GA, IA, IL, IN, KS, KY, LA, MA, MI, MN, MO, MS, NC, ND, NE, NM, OH, OK, PA, SC, TN, TX",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.148938/Mirabilis_albida,Mirabilis oblongifolia
11181,Mirabilis pumila,Mirabilis albida,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=33782,,,,,,,Pale Umbrella-wort,Flowering Plants - Dicots,G5,G5,,"Canada: QC, SK
United States: AL, AR, GA, IA, IL, IN, KS, KY, LA, MA, MI, MN, MO, MS, NC, ND, NE, NM, OH, OK, PA, SC, TN, TX",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.148938/Mirabilis_albida,Mirabilis pumila
11182,Mirabilis alipes,Mirabilis alipes,,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=33783,,,,,,,Watson's Four-o'clock,Flowering Plants - Dicots,G4,G4,,"United States: CA, CO, NV, UT",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.139721/Mirabilis_alipes,Mirabilis alipes
11183,Hermidium alipes,Mirabilis alipes,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=33783,,,,,,,Watson's Four-o'clock,Flowering Plants - Dicots,G4,G4,,"United States: CA, CO, NV, UT",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.139721/Mirabilis_alipes,Hermidium alipes
11184,Mirabilis coccinea,Mirabilis coccinea,Red Four O'Clock,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=33792,red four o'clock,Nyctaginaceae,perennial herb,2B.3,S2,None,Scarlet Four-o'clock,Flowering Plants - Dicots,G5,G5,,"United States: CA, NV",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.143419/Mirabilis_coccinea,Mirabilis coccinea
11185,Oxybaphus coccineus,Mirabilis coccinea,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=33792,,,,,,,Scarlet Four-o'clock,Flowering Plants - Dicots,G5,G5,,"United States: CA, NV",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.143419/Mirabilis_coccinea,Oxybaphus coccineus
11186,Mirabilis greenei,Mirabilis greenei,Greene'S Four O'Clock,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=33805,Greene's four o'clock,Nyctaginaceae,perennial herb,4.2,S3,None,Siskiyou Four-o'clock,Flowering Plants - Dicots,G3,G3,,"United States: CA, OR",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.137515/Mirabilis_greenei,Mirabilis greenei
11187,Quamoclidion greenei,Mirabilis greenei,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=33805,,,,,,,Siskiyou Four-o'clock,Flowering Plants - Dicots,G3,G3,,"United States: CA, OR",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.137515/Mirabilis_greenei,Quamoclidion greenei
