,Scientific.Name,seqs,Species.Group,CRPR,Literature.Count,area
3955,Matricaria discoidea,33,Flowering Plants - Dicots,native,5849,3344394.092
3956,Matricaria occidentalis,3,Flowering Plants - Dicots,native,33,8598.714393
3957,Matthiola incana,77,Flowering Plants - Dicots,weed,5270,36526.47167
3958,Maurandella antirrhiniflora,20,Flowering Plants - Dicots,2B.3,253,13150.97495
3959,Meconella californica,2,Flowering Plants - Dicots,native,21,5058.06729
3960,Meconella denticulata,1,Flowering Plants - Dicots,native,26,12139.3615
3961,Meconella oregana,5,Flowering Plants - Dicots,1B.1,52,1011.613458
3962,Medicago arabica,39,Flowering Plants - Dicots,weed,2070,154560.0849
3963,Medicago lupulina,237,Flowering Plants - Dicots,weed,17120,193254.2997
3964,Medicago minima,487,Flowering Plants - Dicots,weed,4964,121032.3245
3965,Medicago orbicularis,31,Flowering Plants - Dicots,weed,2010,150585.8892
3966,Medicago polymorpha,111,Flowering Plants - Dicots,weed,9326,1295876.84
3967,Medicago praecox,14,Flowering Plants - Dicots,weed,176,30384.53282
3968,Medicago sativa,222007,Flowering Plants - Dicots,weed,277270,147262.0164
3969,Melia azedarach,286,Flowering Plants - Dicots,weed,30100,152536.858
3970,Melica aristata,1,Flowering Plants - Monocots,native,49,16185.81533
3971,Melica bulbosa,17,Flowering Plants - Monocots,native,291,27566.46673
3972,Melica californica,4,Flowering Plants - Monocots,native,262,50327.76954
3973,Melica frutescens,1,Flowering Plants - Monocots,native,37,26807.75664
3974,Melica fugax,4,Flowering Plants - Monocots,native,31,20738.07589
3975,Melica geyeri,2,Flowering Plants - Monocots,native,78,505.806729
3976,Melica harfordii,8,Flowering Plants - Monocots,native,61,32371.63066
3977,Melica imperfecta,6,Flowering Plants - Monocots,native,246,80929.07664
3978,Melica spectabilis,3,Flowering Plants - Monocots,4.3,175,13403.87832
3979,Melica stricta,2,Flowering Plants - Monocots,native,85,32118.72729
3980,Melica subulata,20,Flowering Plants - Monocots,native,271,55132.93346
3981,Melica torreyana,0,Flowering Plants - Monocots,native,75,27060.66
3982,Melilotus indicus,134,Flowering Plants - Dicots,weed,6020,154776.8592
3983,Melilotus officinalis,638,Flowering Plants - Dicots,weed,17000,220820.7664
3984,Melissa officinalis,75,Flowering Plants - Dicots,weed,29800,222446.5738
3985,Menodora scabra,2,Flowering Plants - Dicots,native,278,62720.0344
3986,Menodora scabra var. scabra,1,Flowering Plants - Dicots,2B.3,3,3540.647103
3987,Menodora spinescens,2,Flowering Plants - Dicots,native,230,24025.81963
3988,Mentha aquatica,131,Flowering Plants - Dicots,weed,13210,105316.1869
3989,Mentha arvensis,290,Flowering Plants - Dicots,weed,21900,223602.7034
3990,Mentha canadensis,501,Flowering Plants - Dicots,native,1279,226601.4146
3991,Mentha pulegium,48,Flowering Plants - Dicots,weed,15000,860377.246
3992,Mentha spicata,276,Flowering Plants - Dicots,weed,20600,198059.4636
3993,Mentha suaveolens,133,Flowering Plants - Dicots,weed,5840,231153.6753
3994,Mentzelia affinis,26,Flowering Plants - Dicots,native,61,32624.53402
3995,Mentzelia albicaulis,53,Flowering Plants - Dicots,native,519,6069.680748
3996,Mentzelia congesta,26,Flowering Plants - Dicots,native,47,13656.78168
3997,Mentzelia crocea,23,Flowering Plants - Dicots,native,13,1264.516823
3998,Mentzelia desertorum,32,Flowering Plants - Dicots,native,8,7587.100935
3999,Mentzelia dispersa,40,Flowering Plants - Dicots,native,130,44510.99215
4000,Mentzelia eremophila,26,Flowering Plants - Dicots,4.2,14,5563.874019
4001,Mentzelia gracilenta,27,Flowering Plants - Dicots,native,19,6069.680748
4002,Mentzelia hirsutissima,135,Flowering Plants - Dicots,2B.3,17,8598.714393
4003,Mentzelia involucrata,52,Flowering Plants - Dicots,native,71,41981.95851
4004,Mentzelia inyoensis,4,Flowering Plants - Dicots,1B.3,3,1264.516823
4005,Mentzelia jonesii,32,Flowering Plants - Dicots,native,7,10874.84467
